text,label
तँ मर्नु पर्छ,threat
म तँलाई टुक्र्याउँछु,threat
tero bau,abuse
तँलाई तिमी भन्ने हैन,threat
muji,abuse
नालायक,abuse
तपाईंलाई भेटेर खुशी लाग्यो,clean
timi ramro dekhinchau,clean
तँलाई गोली हान्छु,threat
hatya garchu,threat
kaam ma jaadai chu,clean
साले,abuse
हामी साथी हौं,clean
ta lai chod dinchu,threat
harami,abuse
harami,abuse
hami sathi haun,clean
ma ta lai samaapt parchhu,threat
ta jindagi bata hataidine,threat
तँलाई गोली हान्छु,threat
आजको मौसम राम्रै छ,clean
तँलाई छोड्दिन,threat
harami,abuse
aaja ramailo bhayo,clean
तँलाई तिमी भन्ने हैन,threat
जाठो,abuse
ठग,abuse
तँलाई तिमी भन्ने हैन,threat
जाठो,abuse
घिन लाग्दो,abuse
लफङ्गा,abuse
तँ मर्नु पर्छ,threat
boka,abuse
hatya garchu,threat
dhanyabad,clean
ta marnu parcha,threat
ma ta lai samaapt parchhu,threat
तँलाई जिउँदो जलाउँछु,threat
तँलाई तिमी भन्ने हैन,threat
ta marnu parcha,threat
ta lai kaam tamaam garchu,threat
kutai khanchas,abuse
nalaayak,abuse
हत्या गर्छु,threat
ma ta lai samaapt parchhu,threat
कुटाइ खान्छस्,abuse
thag,abuse
ta lai goli hanchu,threat
kutai khanchas,abuse
ta lai jindaa jalauchu,threat
ta lai chod dinchu,threat
तँलाई तिमी भन्ने हैन,threat
म तँलाई समाप्त पार्छु,threat
तँलाई तिमी भन्ने हैन,threat
हत्या गर्छु,threat
ta lai jindaa jalauchu,threat
chor,abuse
म तँलाई समाप्त पार्छु,threat
मुजी,abuse
ठग,abuse
तेरो बाउ,abuse
तँलाई छोड्दिन,threat
ta jindagi bata hataidine,threat
ta lai kaam tamaam garchu,threat
कुटाइ खान्छस्,abuse
kutai khanchas,abuse
म तँलाई समाप्त पार्छु,threat
ta lai kaam tamaam garchu,threat
तँलाई जिउँदो जलाउँछु,threat
तेरो बाउ,abuse
कुटाइ खान्छस्,abuse
tero bau,abuse
काममा जाँदैछु,clean
तँलाई तिमी भन्ने हैन,threat
boka,abuse
कुटाइ खान्छस्,abuse
ma ta lai samaapt parchhu,threat
तिमी राम्रो देखिन्छौ,clean
हामी साथी हौं,clean
धन्यवाद,clean
ठग,abuse
धन्यवाद,clean
ta lai chod dinchu,threat
thulo guffadi,abuse
पढ्दै छु,clean
हत्या गर्छु,threat
जाठो,abuse
dhanyabad,clean
ta lai tukra parchu,threat
hatya garchu,threat
ta lai jindaa jalauchu,threat
म तँलाई समाप्त पार्छु,threat
तँ मर्नु पर्छ,threat
जाठो,abuse
धन्यवाद,clean
तिमी राम्रो देखिन्छौ,clean
ठग,abuse
harami,abuse
ta lai tukra parchu,threat
thulo guffadi,abuse
तँलाई देखे पछि काम तमाम,threat
आज रमाइलो भयो,clean
ta lai kaam tamaam garchu,threat
jatha,abuse
म तँलाई समाप्त पार्छु,threat
ta jindagi bata hataidine,threat
तँलाई उठाउँछु अनि झार्छु,threat
ta jindagi bata hataidine,threat
harami,abuse
काममा जाँदैछु,clean
जाठो,abuse
साले,abuse
ta marnu parcha,threat
saley,abuse
तँलाई छोड्दिन,threat
ghin laagdo,abuse
tapaai lai bhetda ramailo lagyo,clean
म तँलाई टुक्र्याउँछु,threat
ta lai chod dinchu,threat
जाठो,abuse
kripaya sahayog gar,clean
ta lai tukra parchu,threat
म तँलाई टुक्र्याउँछु,threat
lafanga,abuse
chor,abuse
saley,abuse
ta marnu parcha,threat
timilai kasto cha,clean
हरामी,abuse
saley,abuse
ma ta lai samaapt parchhu,threat
जाठो,abuse
ta lai udai dinchu,threat
ta lai chod dinchu,threat
timi ramro dekhinchau,clean
ta lai jindaa jalauchu,threat
तिमीलाई कस्तो छ,clean
तँलाई गोली हान्छु,threat
kaam ma jaadai chu,clean
आजको मौसम राम्रै छ,clean
तँ मर्नु पर्छ,threat
tapaai lai bhetda ramailo lagyo,clean
म तँलाई टुक्र्याउँछु,threat
padhdai chu,clean
ta marnu parcha,threat
काममा जाँदैछु,clean
तिमीलाई कस्तो छ,clean
तिमी राम्रो देखिन्छौ,clean
तँलाई देखे पछि काम तमाम,threat
म तँलाई टुक्र्याउँछु,threat
muji,abuse
hatya garchu,threat
hatya garchu,threat
ta marnu parcha,threat
kukur,abuse
thulo guffadi,abuse
तँलाई गोली हान्छु,threat
ta lai goli hanchu,threat
म तँलाई टुक्र्याउँछु,threat
तँलाई देखे पछि काम तमाम,threat
ta lai tukra parchu,threat
ta marnu parcha,threat
ta lai udai dinchu,threat
तँलाई देखे पछि काम तमाम,threat
बल्ल बन्छस्,abuse
कुकुर,abuse
तँलाई गोली हान्छु,threat
ta jindagi bata hataidine,threat
तँ मर्नु पर्छ,threat
तँलाई तिमी भन्ने हैन,threat
hatya garchu,threat
shubha prabhat,clean
गुन्डा,abuse
ta lai jindaa jalauchu,threat
ठग,abuse
जाठो,abuse
तँलाई जिउँदो जलाउँछु,threat
मुजी,abuse
ghin laagdo,abuse
कुटाइ खान्छस्,abuse
कुटाइ खान्छस्,abuse
saley,abuse
saley,abuse
khusi chu,clean
ta marnu parcha,threat
आजको मौसम राम्रै छ,clean
jatha,abuse
आजको मौसम राम्रै छ,clean
तँलाई गोली हान्छु,threat
हत्या गर्छु,threat
आजको मौसम राम्रै छ,clean
तँलाई छोड्दिन,threat
aaja ramailo bhayo,clean
aaja ramailo bhayo,clean
ta lai chod dinchu,threat
hatya garchu,threat
हत्या गर्छु,threat
धन्यवाद,clean
तँलाई जिउँदो जलाउँछु,threat
तँलाई उठाउँछु अनि झार्छु,threat
khaatey,abuse
ta lai tukra parchu,threat
गुन्डा,abuse
